,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
24035,53,entrepreneur,married,secondary,no,0,no,no,cellular,29,aug,88,3,-1,0,,no
32119,61,retired,married,primary,no,1515,yes,no,cellular,15,apr,253,2,-1,0,,no
31216,25,student,single,secondary,no,1116,yes,no,cellular,2,mar,170,3,-1,0,,no
14284,40,blue-collar,married,secondary,no,992,yes,yes,cellular,14,jul,297,3,-1,0,,no
44552,42,admin.,divorced,secondary,no,2129,no,no,cellular,13,aug,633,1,182,2,other,yes
21842,54,housemaid,married,primary,no,194,no,no,cellular,20,aug,127,2,-1,0,,no
14221,35,admin.,married,secondary,no,-203,yes,no,cellular,11,jul,1649,2,-1,0,,yes
25082,33,self-employed,divorced,tertiary,no,454,no,yes,cellular,18,nov,134,1,-1,0,,no
11330,37,blue-collar,married,primary,no,1104,no,no,,18,jun,15,8,-1,0,,no
19350,32,technician,single,secondary,no,145,no,no,cellular,6,aug,135,2,-1,0,,no
10722,56,entrepreneur,married,secondary,no,535,yes,yes,,16,jun,345,4,-1,0,,no
2873,49,blue-collar,married,secondary,no,611,yes,yes,,14,may,179,1,-1,0,,no
4845,48,self-employed,married,secondary,no,4746,yes,no,,21,may,32,11,-1,0,,no
18819,26,admin.,single,tertiary,no,2053,no,no,cellular,31,jul,127,4,-1,0,,no
15217,26,admin.,married,secondary,no,5231,no,yes,cellular,17,jul,222,2,-1,0,,no
2844,40,technician,married,secondary,no,503,yes,no,,14,may,127,3,-1,0,,no
22539,43,technician,single,secondary,no,4990,yes,no,cellular,22,aug,88,10,-1,0,,no
20252,40,housemaid,married,secondary,no,116,no,no,cellular,11,aug,1099,4,-1,0,,no
2555,29,blue-collar,divorced,,no,17,yes,no,,13,may,31,2,-1,0,,no
30453,42,technician,single,secondary,no,555,yes,no,cellular,5,feb,449,2,-1,0,,no
12594,48,blue-collar,married,secondary,no,-19,no,yes,,4,jul,270,1,-1,0,,no
42786,27,,single,tertiary,no,6421,no,no,telephone,28,jan,147,4,-1,0,,no
5472,39,entrepreneur,divorced,secondary,no,1202,yes,no,,23,may,364,2,-1,0,,no
4995,21,student,single,secondary,no,232,yes,no,,21,may,110,2,-1,0,,no
5973,30,services,married,secondary,no,129,yes,no,,26,may,1446,7,-1,0,,yes
18717,34,blue-collar,married,secondary,no,699,yes,yes,cellular,31,jul,576,10,-1,0,,no
1683,40,housemaid,divorced,secondary,no,108,no,no,,9,may,93,1,-1,0,,no
35190,37,services,married,secondary,no,343,yes,yes,cellular,7,may,104,1,304,7,failure,no
8439,37,management,single,tertiary,no,1449,no,no,,3,jun,291,1,-1,0,,no
2263,33,entrepreneur,single,secondary,no,339,yes,no,,12,may,212,2,-1,0,,no
14740,54,technician,divorced,secondary,no,765,yes,yes,cellular,15,jul,812,3,-1,0,,no
17236,29,services,single,secondary,no,166,no,yes,cellular,28,jul,108,8,-1,0,,no
40644,39,admin.,divorced,secondary,no,160,yes,no,cellular,5,aug,156,1,-1,0,,no
18804,44,admin.,divorced,secondary,no,611,no,no,cellular,31,jul,6,10,-1,0,,no
36733,45,blue-collar,married,primary,no,353,yes,no,cellular,12,may,204,1,364,1,failure,no
34747,51,entrepreneur,married,,no,2396,yes,no,cellular,6,may,241,2,-1,0,,no
41808,39,housemaid,married,tertiary,no,93,no,no,cellular,14,oct,595,2,-1,0,,no
4495,33,technician,single,secondary,no,1769,yes,no,,20,may,181,1,-1,0,,no
27016,50,self-employed,divorced,secondary,no,985,yes,yes,telephone,21,nov,167,1,-1,0,,no
867,26,blue-collar,single,secondary,no,24,yes,no,,7,may,180,1,-1,0,,no
29139,35,admin.,married,secondary,no,643,yes,no,cellular,2,feb,346,2,-1,0,,no
6319,60,technician,married,tertiary,no,1626,yes,yes,,27,may,395,2,-1,0,,no
9489,36,blue-collar,married,secondary,no,70,yes,no,,6,jun,100,2,-1,0,,no
14052,27,admin.,married,secondary,no,941,yes,no,cellular,11,jul,124,1,-1,0,,no
35450,27,management,single,tertiary,no,405,yes,no,cellular,7,may,129,2,-1,0,,no
44391,56,services,married,secondary,no,1989,no,no,cellular,3,aug,279,4,181,4,success,yes
6282,34,technician,single,secondary,no,486,yes,no,,27,may,185,1,-1,0,,no
28624,33,blue-collar,divorced,secondary,no,880,yes,yes,cellular,29,jan,263,3,239,1,failure,no
21521,53,management,married,tertiary,no,210,no,no,cellular,19,aug,96,2,-1,0,,no
4885,34,technician,married,secondary,no,883,yes,no,,21,may,648,1,-1,0,,no
41792,76,retired,married,primary,no,163,no,no,telephone,13,oct,120,1,-1,0,,no
19639,37,blue-collar,married,tertiary,no,359,no,yes,cellular,7,aug,3422,2,-1,0,,no
37143,45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure,no
3565,40,blue-collar,married,primary,no,2562,yes,no,,15,may,487,4,-1,0,,no
37607,32,technician,single,tertiary,no,13711,yes,no,cellular,14,may,638,1,175,3,success,no
27338,38,technician,married,secondary,no,1,yes,no,cellular,21,nov,57,5,199,1,success,no
44845,40,entrepreneur,married,secondary,no,6403,no,no,cellular,22,sep,208,2,-1,0,,yes
15194,50,housemaid,married,tertiary,no,1005,no,no,cellular,17,jul,188,3,-1,0,,no
12032,43,admin.,married,secondary,no,0,no,no,,20,jun,804,12,-1,0,,no
37604,32,management,married,tertiary,no,62,yes,no,cellular,14,may,166,1,-1,0,,no
1288,26,student,single,secondary,no,85,yes,no,,8,may,278,2,-1,0,,no
44006,48,management,single,tertiary,no,86,no,no,cellular,28,jun,281,3,186,6,other,yes
19496,30,technician,married,secondary,no,371,no,no,cellular,7,aug,124,2,-1,0,,no
969,30,services,single,secondary,no,21,yes,no,,7,may,104,2,-1,0,,no
24307,42,technician,married,secondary,no,69,yes,yes,cellular,17,nov,55,1,-1,0,,no
44178,68,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,897,2,-1,0,,yes
22121,31,technician,single,secondary,no,388,no,no,cellular,21,aug,115,2,-1,0,,no
32932,38,management,single,tertiary,no,4082,yes,no,cellular,17,apr,322,2,-1,0,,no
35394,41,technician,married,secondary,no,77,yes,no,cellular,7,may,56,1,-1,0,,no
24187,51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,no
19844,31,technician,married,secondary,no,172,no,no,cellular,8,aug,151,2,-1,0,,no
42253,38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,,yes
12095,28,management,single,secondary,no,311,yes,no,,20,jun,23,13,-1,0,,no
22215,30,services,single,tertiary,no,-477,no,yes,cellular,21,aug,1532,2,-1,0,,yes
12006,31,admin.,single,secondary,no,1016,yes,no,,20,jun,9,5,-1,0,,no
36571,37,technician,single,tertiary,no,-487,yes,no,cellular,12,may,358,1,260,5,other,no
20951,38,management,single,tertiary,no,2117,no,no,cellular,14,aug,81,2,-1,0,,no
8416,41,blue-collar,single,secondary,no,948,yes,no,,3,jun,157,1,-1,0,,no
4880,51,blue-collar,divorced,secondary,no,44,no,no,,21,may,137,2,-1,0,,no
41126,26,management,single,tertiary,no,2506,no,no,cellular,18,aug,134,1,82,3,failure,no
21031,30,services,single,tertiary,no,719,no,yes,cellular,14,aug,38,2,-1,0,,no
1177,52,blue-collar,married,secondary,no,46,yes,no,,8,may,132,1,-1,0,,no
38740,54,blue-collar,married,secondary,no,1777,yes,no,cellular,18,may,13,5,178,6,success,no
20748,38,technician,married,tertiary,no,334,yes,no,cellular,13,aug,139,2,-1,0,,no
42360,31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,1,-1,0,,yes
41451,64,retired,married,tertiary,no,1644,no,no,telephone,7,sep,569,4,-1,0,,yes
23708,34,management,married,tertiary,no,2032,no,no,cellular,28,aug,103,12,-1,0,,no
15054,42,services,divorced,secondary,no,138,no,no,cellular,17,jul,324,1,-1,0,,no
27922,45,housemaid,divorced,secondary,no,31,yes,no,cellular,28,jan,280,1,-1,0,,no
1362,39,admin.,single,secondary,no,762,yes,no,,8,may,288,1,-1,0,,no
23964,40,management,single,tertiary,no,185,no,no,cellular,29,aug,173,4,-1,0,,no
31635,34,admin.,single,secondary,no,266,yes,no,cellular,6,apr,437,2,-1,0,,no
14686,44,blue-collar,divorced,secondary,no,-1,no,yes,cellular,15,jul,194,5,-1,0,,no
34385,23,student,single,secondary,no,0,no,no,telephone,4,may,526,1,-1,0,,no
14668,35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,479,1,-1,0,,no
1221,41,admin.,single,secondary,no,1715,yes,no,,8,may,462,1,-1,0,,no
2185,49,services,single,secondary,no,5028,yes,no,,12,may,891,1,-1,0,,no
2608,57,blue-collar,married,primary,no,1460,no,no,,13,may,91,2,-1,0,,no
43660,58,blue-collar,married,primary,no,226,yes,yes,cellular,10,may,135,3,-1,0,,no
19524,40,technician,divorced,secondary,no,0,no,no,cellular,7,aug,674,2,-1,0,,yes
4032,44,blue-collar,married,primary,no,75,no,no,,16,may,107,3,-1,0,,no
20942,42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,,no
25660,38,blue-collar,married,primary,no,-459,yes,yes,cellular,19,nov,219,2,-1,0,,no
24269,49,technician,divorced,secondary,no,7,yes,yes,cellular,17,nov,50,1,-1,0,,no
37954,29,blue-collar,married,secondary,no,64,yes,no,cellular,14,may,444,2,366,3,failure,no
20671,49,blue-collar,married,secondary,no,3779,yes,no,cellular,12,aug,178,9,-1,0,,no
9496,25,admin.,single,secondary,no,0,yes,no,,6,jun,172,2,-1,0,,no
44799,43,blue-collar,married,primary,no,445,yes,no,,15,sep,173,1,-1,0,,no
20299,40,technician,married,secondary,yes,32,yes,no,cellular,11,aug,55,4,-1,0,,no
19888,44,technician,single,secondary,no,7138,no,no,cellular,8,aug,809,2,-1,0,,yes
17870,50,admin.,married,secondary,no,2678,no,no,telephone,30,jul,1011,6,-1,0,,yes
24974,48,technician,married,tertiary,no,0,no,yes,cellular,18,nov,106,1,-1,0,,no
13487,54,self-employed,married,primary,no,0,no,yes,telephone,9,jul,130,2,-1,0,,no
25069,55,management,divorced,tertiary,no,0,no,no,cellular,18,nov,120,2,-1,0,,no
24128,26,management,single,tertiary,no,4683,yes,no,telephone,5,nov,5,1,-1,0,,no
31508,33,management,single,tertiary,no,3161,yes,no,cellular,2,apr,313,3,-1,0,,yes
43662,80,retired,married,primary,no,594,no,no,telephone,10,may,128,2,-1,0,,no
10742,45,management,married,tertiary,no,1847,no,no,,16,jun,77,5,-1,0,,no
22733,56,management,single,tertiary,no,3694,no,no,cellular,25,aug,57,4,-1,0,,no
12902,60,retired,divorced,tertiary,no,468,no,no,cellular,7,jul,108,2,-1,0,,no
1581,34,blue-collar,married,primary,no,298,yes,no,,8,may,220,2,-1,0,,no
20050,46,blue-collar,married,primary,no,7982,no,no,cellular,8,aug,263,5,-1,0,,no
28114,42,services,married,,no,177,no,no,telephone,28,jan,258,4,-1,0,,no
34476,42,admin.,single,secondary,no,151,yes,no,telephone,5,may,227,3,-1,0,,no
7982,36,management,married,tertiary,no,596,yes,no,,2,jun,372,2,-1,0,,no
11440,40,unemployed,single,primary,no,5613,yes,no,,19,jun,152,2,-1,0,,no
28013,44,housemaid,married,secondary,no,122,no,no,cellular,28,jan,68,2,-1,0,,no
21443,32,technician,single,tertiary,no,20,yes,yes,cellular,18,aug,193,5,-1,0,,no
27833,58,unemployed,married,primary,no,446,no,no,cellular,28,jan,402,2,-1,0,,no
9105,44,unemployed,married,tertiary,no,1151,yes,no,,5,jun,127,2,-1,0,,no
43827,48,housemaid,married,secondary,no,0,no,no,cellular,28,may,270,5,-1,0,,yes
37725,55,retired,married,secondary,no,785,yes,no,cellular,14,may,47,1,370,2,failure,no
9325,48,entrepreneur,single,tertiary,no,2313,no,no,,6,jun,130,1,-1,0,,no
692,37,technician,married,secondary,no,710,yes,no,,6,may,378,3,-1,0,,no
8316,58,admin.,married,secondary,no,3496,yes,no,,2,jun,111,4,-1,0,,no
19916,51,blue-collar,married,secondary,no,700,no,no,cellular,8,aug,237,4,-1,0,,no
4571,29,services,single,secondary,no,0,yes,no,,20,may,227,9,-1,0,,no
19733,55,technician,married,tertiary,no,1097,yes,no,cellular,7,aug,191,4,-1,0,,no
25930,37,technician,single,tertiary,no,3943,no,no,cellular,19,nov,37,1,-1,0,,no
22474,52,housemaid,married,primary,no,335,no,no,cellular,22,aug,217,5,-1,0,,no
6223,36,blue-collar,married,primary,no,244,yes,no,,27,may,70,2,-1,0,,no
30197,50,admin.,divorced,secondary,no,381,no,no,cellular,5,feb,519,1,212,2,other,no
4686,37,blue-collar,married,secondary,no,32,yes,no,,20,may,146,2,-1,0,,no
22611,30,technician,married,secondary,no,394,no,no,cellular,22,aug,216,13,-1,0,,no
25566,39,blue-collar,single,primary,no,6,yes,no,cellular,19,nov,286,2,-1,0,,no
24312,51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
9958,38,technician,divorced,tertiary,no,1805,no,no,,9,jun,952,2,-1,0,,yes
25679,31,blue-collar,married,secondary,no,69,no,no,cellular,19,nov,640,1,-1,0,,no
11235,53,blue-collar,divorced,secondary,no,517,yes,no,,18,jun,188,2,-1,0,,no
43685,28,admin.,single,secondary,no,4745,no,no,telephone,12,may,360,1,181,5,success,yes
21668,31,technician,married,secondary,no,0,no,yes,cellular,19,aug,144,4,-1,0,,no
8925,50,blue-collar,married,primary,no,42,yes,no,,4,jun,170,3,-1,0,,no
1502,35,self-employed,single,tertiary,no,538,yes,yes,,8,may,21,9,-1,0,,no
38666,34,admin.,married,secondary,no,-297,yes,no,cellular,15,may,92,4,353,3,failure,no
32744,41,blue-collar,married,secondary,no,475,yes,no,telephone,17,apr,254,1,-1,0,,no
26601,53,technician,divorced,tertiary,no,6503,yes,no,cellular,20,nov,143,1,-1,0,,no
29553,38,technician,single,tertiary,no,1369,yes,no,cellular,3,feb,841,3,-1,0,,no
15049,30,management,married,tertiary,no,3134,yes,no,cellular,17,jul,124,1,-1,0,,no
7613,45,housemaid,divorced,primary,no,413,yes,no,,30,may,65,1,-1,0,,no
14459,50,technician,married,secondary,no,2,yes,yes,cellular,14,jul,171,3,-1,0,,no
6428,39,technician,married,secondary,no,768,yes,yes,,27,may,171,4,-1,0,,no
26916,52,management,married,tertiary,no,4173,no,yes,cellular,21,nov,159,2,-1,0,,no
9157,40,blue-collar,married,primary,no,743,no,no,,5,jun,18,2,-1,0,,no
20825,32,management,single,tertiary,no,1047,yes,no,cellular,13,aug,203,6,-1,0,,no
21518,45,self-employed,married,secondary,no,571,yes,no,cellular,19,aug,361,5,-1,0,,no
35130,37,blue-collar,married,secondary,no,-57,yes,yes,cellular,7,may,55,5,-1,0,,no
20460,34,blue-collar,married,secondary,no,172,no,no,cellular,12,aug,237,2,-1,0,,no
25309,40,technician,single,secondary,no,1411,yes,yes,cellular,18,nov,93,3,-1,0,,no
29396,31,management,single,tertiary,no,3295,no,no,cellular,2,feb,845,2,-1,0,,no
8182,34,blue-collar,married,secondary,no,8558,yes,no,,2,jun,466,2,-1,0,,no
10734,55,blue-collar,married,primary,no,835,yes,no,,16,jun,40,18,-1,0,,no
7762,29,services,divorced,secondary,no,590,yes,no,,30,may,76,2,-1,0,,no
35399,40,blue-collar,divorced,secondary,no,0,yes,no,cellular,7,may,135,1,-1,0,,no
40917,43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success,yes
38894,35,blue-collar,married,primary,no,1749,yes,no,cellular,18,may,63,5,363,11,other,no
44090,60,management,divorced,primary,no,2694,no,no,telephone,6,jul,295,1,-1,0,,no
21946,41,technician,single,secondary,no,143,no,no,cellular,20,aug,744,7,-1,0,,no
10056,55,admin.,married,secondary,no,994,no,no,,11,jun,490,2,-1,0,,no
17693,25,services,single,,no,342,no,no,cellular,29,jul,281,4,-1,0,,no
7405,49,blue-collar,married,secondary,no,0,yes,no,,29,may,67,2,-1,0,,no
33038,32,blue-collar,married,primary,no,1504,yes,no,cellular,17,apr,131,2,-1,0,,no
7645,54,technician,divorced,secondary,no,814,yes,no,,30,may,95,1,-1,0,,no
12621,27,services,single,secondary,no,243,no,yes,,4,jul,253,1,-1,0,,no
8829,49,entrepreneur,married,primary,no,5380,yes,no,,4,jun,98,4,-1,0,,no
11767,58,retired,married,secondary,no,5523,no,no,,20,jun,141,1,-1,0,,no
3804,27,technician,single,secondary,no,1742,yes,no,,16,may,787,1,-1,0,,yes
32107,51,services,married,secondary,no,421,yes,no,cellular,15,apr,139,2,-1,0,,no
31131,31,management,married,tertiary,no,131,no,no,cellular,18,feb,332,2,-1,0,,yes
10964,57,entrepreneur,married,secondary,no,926,no,no,,17,jun,447,3,-1,0,,no
29164,31,technician,single,secondary,no,775,no,no,cellular,2,feb,361,1,-1,0,,no
13305,57,blue-collar,married,primary,no,0,no,no,cellular,8,jul,237,3,-1,0,,no
29073,60,management,married,tertiary,no,553,yes,no,cellular,2,feb,343,1,210,3,success,no
38168,28,technician,single,tertiary,no,558,yes,no,cellular,15,may,300,1,-1,0,,no
26499,39,blue-collar,single,secondary,no,369,no,yes,cellular,20,nov,224,1,-1,0,,no
19224,53,management,divorced,tertiary,no,269,no,no,cellular,6,aug,347,2,-1,0,,no
10406,56,blue-collar,married,secondary,no,2190,no,yes,,12,jun,270,1,-1,0,,no
23990,41,technician,divorced,secondary,no,88,no,no,cellular,29,aug,88,2,-1,0,,no
41961,57,management,married,primary,no,6900,no,no,cellular,23,oct,255,4,185,2,failure,yes
10546,37,management,married,tertiary,no,57,no,no,,16,jun,77,1,-1,0,,no
24736,35,self-employed,married,secondary,no,3329,no,no,cellular,18,nov,166,1,-1,0,,no
36852,40,management,single,tertiary,no,-50,yes,no,cellular,12,may,306,2,350,1,failure,no
41708,77,retired,married,primary,no,121,no,no,telephone,7,oct,191,1,-1,0,,no
16339,41,management,single,tertiary,no,0,yes,no,cellular,23,jul,122,5,-1,0,,no
38390,29,admin.,single,secondary,no,405,yes,no,cellular,15,may,84,1,345,1,other,no
24428,43,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,nov,105,1,-1,0,,no
22734,41,management,divorced,tertiary,yes,-68,yes,yes,cellular,25,aug,463,22,-1,0,,no
42934,34,technician,married,secondary,no,3000,yes,yes,cellular,8,feb,215,3,221,1,failure,no
28515,26,technician,single,tertiary,no,1996,no,no,cellular,29,jan,111,2,-1,0,,no
42194,67,management,married,tertiary,no,405,no,no,cellular,10,nov,344,2,95,2,success,yes
42271,38,entrepreneur,married,tertiary,no,1438,no,no,cellular,13,nov,122,5,-1,0,,no
7356,55,management,married,tertiary,no,856,yes,yes,,29,may,101,4,-1,0,,no
660,32,admin.,married,tertiary,no,281,yes,no,,6,may,226,1,-1,0,,no
15038,55,unemployed,divorced,secondary,no,79,yes,no,cellular,17,jul,418,2,-1,0,,no
6121,35,blue-collar,married,secondary,no,-185,yes,yes,,27,may,130,2,-1,0,,no
42428,42,management,married,tertiary,no,144,no,no,cellular,7,dec,143,1,283,3,failure,no
8229,34,technician,married,primary,no,926,yes,yes,,2,jun,142,2,-1,0,,no
42688,30,management,single,tertiary,no,720,no,no,cellular,15,jan,1265,4,210,4,other,yes
12775,27,blue-collar,single,secondary,no,77,no,yes,cellular,7,jul,497,1,-1,0,,no
42953,24,student,single,tertiary,no,235,no,no,cellular,9,feb,98,1,92,1,success,yes
12234,47,services,married,secondary,no,0,no,yes,,20,jun,51,2,-1,0,,no
12642,30,admin.,single,tertiary,no,218,no,no,,4,jul,137,2,-1,0,,no
31107,38,admin.,married,secondary,no,755,yes,no,cellular,17,feb,120,1,-1,0,,yes
25906,31,self-employed,single,secondary,no,203,no,yes,cellular,19,nov,177,1,-1,0,,no
36031,37,blue-collar,married,primary,no,240,yes,no,cellular,11,may,259,1,370,2,other,no
37421,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,,no
11536,39,admin.,single,secondary,no,0,no,yes,,19,jun,142,1,-1,0,,no
1852,43,blue-collar,married,primary,no,336,yes,no,,9,may,256,5,-1,0,,no
23767,41,technician,divorced,secondary,no,195,no,no,cellular,28,aug,260,1,-1,0,,no
7766,51,blue-collar,married,secondary,no,1374,yes,no,,30,may,378,1,-1,0,,no
1500,41,technician,married,secondary,no,64,yes,yes,,8,may,210,2,-1,0,,no
30059,54,blue-collar,married,secondary,no,688,yes,no,cellular,4,feb,379,2,-1,0,,no
9457,26,admin.,married,secondary,no,1417,yes,no,,6,jun,60,3,-1,0,,no
29359,49,management,married,secondary,no,466,no,no,cellular,2,feb,21,3,-1,0,,no
6050,60,retired,married,primary,no,-382,yes,no,,26,may,140,2,-1,0,,no
15299,35,admin.,single,secondary,no,111,yes,no,cellular,18,jul,127,3,-1,0,,no
14846,31,technician,divorced,secondary,no,105,yes,no,cellular,16,jul,72,1,-1,0,,no
3755,43,admin.,single,secondary,no,6,no,no,,16,may,244,1,-1,0,,no
27949,28,,single,secondary,no,4465,no,no,cellular,28,jan,769,1,-1,0,,yes
40409,40,management,married,tertiary,no,-63,no,yes,cellular,2,jul,196,1,-1,0,,no
11950,47,management,divorced,tertiary,no,2515,no,no,,20,jun,40,3,-1,0,,no
18255,39,admin.,married,secondary,no,70,yes,no,cellular,31,jul,13,11,-1,0,,no
42289,34,management,married,tertiary,no,2599,no,no,cellular,16,nov,95,1,200,2,success,no
35000,32,technician,divorced,secondary,no,3345,yes,no,cellular,6,may,118,1,260,3,failure,no
30201,35,management,divorced,tertiary,no,500,yes,no,cellular,5,feb,177,1,252,1,failure,no
40461,35,services,single,tertiary,no,0,no,no,cellular,3,jul,704,1,-1,0,,yes
23579,44,management,divorced,tertiary,no,0,no,no,cellular,28,aug,70,10,-1,0,,no
43711,37,management,married,tertiary,no,393,yes,no,cellular,14,may,567,3,275,4,failure,yes
14789,45,blue-collar,single,secondary,yes,0,no,yes,cellular,16,jul,154,2,-1,0,,no
22809,30,management,single,tertiary,no,73,no,no,cellular,25,aug,114,6,-1,0,,no
32935,28,services,single,secondary,no,230,yes,yes,cellular,17,apr,181,2,-1,0,,no
13323,36,management,single,tertiary,no,-74,yes,yes,cellular,8,jul,476,2,-1,0,,no
8629,28,blue-collar,single,primary,no,0,yes,yes,,3,jun,380,4,-1,0,,no
3058,26,blue-collar,single,secondary,no,277,no,no,,14,may,514,2,-1,0,,no
4114,59,blue-collar,divorced,primary,no,457,yes,no,,19,may,63,1,-1,0,,no
21160,52,technician,married,tertiary,no,104,no,no,cellular,14,aug,244,2,-1,0,,no
13643,33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,,no
8329,49,blue-collar,married,primary,no,355,yes,no,,2,jun,253,7,-1,0,,no
33128,56,technician,married,secondary,no,0,yes,no,cellular,20,apr,249,1,-1,0,,no
10552,41,blue-collar,married,secondary,no,2413,no,no,,16,jun,64,3,-1,0,,no
2837,42,admin.,single,secondary,no,277,yes,no,,14,may,121,1,-1,0,,no
1896,57,self-employed,married,tertiary,yes,-3313,yes,yes,,9,may,153,1,-1,0,,no
14014,40,services,married,primary,no,352,yes,no,cellular,10,jul,258,1,-1,0,,no
15278,40,technician,married,tertiary,no,5152,yes,yes,cellular,18,jul,121,2,-1,0,,no
10373,58,management,married,primary,no,0,no,no,,12,jun,77,6,-1,0,,no
20847,45,technician,single,secondary,no,113,yes,yes,cellular,13,aug,165,2,-1,0,,no
26922,37,admin.,single,secondary,no,1560,yes,no,cellular,21,nov,67,1,163,2,failure,no
39830,31,self-employed,single,tertiary,no,283,no,no,cellular,1,jun,134,1,-1,0,,no
29513,64,retired,married,secondary,no,1176,no,no,cellular,3,feb,104,1,-1,0,,no
17149,36,services,divorced,tertiary,no,58,yes,no,cellular,28,jul,29,13,-1,0,,no
4448,32,services,married,secondary,no,364,yes,no,,20,may,466,1,-1,0,,no
12986,40,blue-collar,married,primary,yes,-23,no,yes,cellular,7,jul,756,3,-1,0,,no
17258,53,admin.,married,secondary,no,673,no,yes,telephone,28,jul,137,2,-1,0,,no
34598,41,blue-collar,divorced,primary,no,169,yes,no,cellular,5,may,71,1,-1,0,,no
32151,33,management,married,tertiary,no,2173,yes,no,cellular,15,apr,871,1,-1,0,,no
40898,36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,1,-1,0,,no
9379,26,blue-collar,single,secondary,no,940,yes,no,,6,jun,237,3,-1,0,,no
1716,44,management,married,tertiary,no,223,yes,no,,9,may,93,2,-1,0,,no
40997,21,management,single,secondary,no,691,no,no,cellular,13,aug,219,1,101,2,other,no
23218,39,technician,single,tertiary,no,0,no,no,cellular,27,aug,147,4,-1,0,,no
3717,25,admin.,married,secondary,no,16,yes,no,,16,may,129,1,-1,0,,no
17404,26,services,single,primary,no,179,yes,yes,cellular,28,jul,333,4,-1,0,,no
36988,48,blue-collar,married,secondary,no,709,yes,no,cellular,13,may,117,2,278,3,other,no
24519,38,admin.,married,,no,4583,yes,no,cellular,17,nov,191,2,-1,0,,no
10101,49,technician,single,tertiary,no,2585,no,no,,11,jun,64,1,-1,0,,no
7447,32,technician,divorced,secondary,no,211,yes,yes,,29,may,230,4,-1,0,,no
29590,29,,single,secondary,no,1288,no,no,cellular,3,feb,266,1,-1,0,,no
4430,51,housemaid,married,primary,no,492,yes,no,,20,may,142,3,-1,0,,no
24435,42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success,no
2487,48,management,married,tertiary,no,618,no,no,,13,may,149,1,-1,0,,no
30387,38,blue-collar,single,primary,no,3132,no,no,cellular,5,feb,304,1,-1,0,,no
22522,30,technician,single,secondary,no,3,no,no,cellular,22,aug,198,2,-1,0,,no
23510,32,management,married,tertiary,no,2431,no,no,cellular,28,aug,19,19,-1,0,,no
35066,30,admin.,single,secondary,no,1282,yes,no,cellular,6,may,346,3,356,2,other,no
11294,57,blue-collar,married,,no,4722,yes,no,,18,jun,121,2,-1,0,,no
8466,34,blue-collar,single,,no,6141,yes,no,,3,jun,145,1,-1,0,,no
2715,51,technician,married,secondary,no,330,yes,no,,13,may,72,4,-1,0,,no
37478,38,blue-collar,divorced,primary,no,0,yes,no,cellular,13,may,531,2,-1,0,,yes
43540,31,management,married,tertiary,no,3160,yes,no,cellular,26,apr,688,2,-1,0,,yes
507,48,blue-collar,single,secondary,no,44,yes,no,,6,may,153,1,-1,0,,no
21360,56,admin.,divorced,secondary,no,985,no,yes,cellular,18,aug,150,2,-1,0,,no
30296,35,unemployed,married,primary,no,4564,yes,no,telephone,5,feb,508,1,-1,0,,no
9558,37,self-employed,single,tertiary,no,1549,no,no,,6,jun,48,2,-1,0,,no
17484,31,services,single,secondary,no,0,no,no,cellular,28,jul,243,2,-1,0,,no
6281,44,technician,divorced,secondary,no,1196,yes,no,,27,may,202,1,-1,0,,no
42901,30,blue-collar,single,secondary,no,228,no,no,cellular,5,feb,232,1,365,1,failure,no
3444,53,admin.,married,secondary,no,-197,yes,yes,,15,may,178,1,-1,0,,no
30986,37,unemployed,married,secondary,no,356,no,no,cellular,9,feb,33,2,216,1,failure,no
36249,44,management,married,tertiary,no,0,yes,no,cellular,11,may,78,2,264,3,failure,no
42354,61,technician,married,primary,no,2282,no,no,cellular,25,nov,1092,1,-1,0,,no
16379,49,admin.,divorced,secondary,yes,2405,yes,no,cellular,23,jul,216,8,-1,0,,no
755,38,housemaid,married,secondary,no,0,yes,no,,6,may,59,3,-1,0,,no
2634,47,blue-collar,married,,no,1045,yes,no,,13,may,411,2,-1,0,,no
38541,40,blue-collar,married,secondary,no,1145,yes,no,cellular,15,may,175,4,-1,0,,no
420,49,management,single,tertiary,no,163,yes,no,,6,may,496,3,-1,0,,no
2566,41,management,married,tertiary,no,0,yes,no,,13,may,161,1,-1,0,,no
