,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
6428,39,technician,married,secondary,no,768,yes,yes,,27,may,171,4,-1,0,
26916,52,management,married,tertiary,no,4173,no,yes,cellular,21,nov,159,2,-1,0,
9157,40,blue-collar,married,primary,no,743,no,no,,5,jun,18,2,-1,0,
20825,32,management,single,tertiary,no,1047,yes,no,cellular,13,aug,203,6,-1,0,
21518,45,self-employed,married,secondary,no,571,yes,no,cellular,19,aug,361,5,-1,0,
35130,37,blue-collar,married,secondary,no,-57,yes,yes,cellular,7,may,55,5,-1,0,
20460,34,blue-collar,married,secondary,no,172,no,no,cellular,12,aug,237,2,-1,0,
25309,40,technician,single,secondary,no,1411,yes,yes,cellular,18,nov,93,3,-1,0,
29396,31,management,single,tertiary,no,3295,no,no,cellular,2,feb,845,2,-1,0,
8182,34,blue-collar,married,secondary,no,8558,yes,no,,2,jun,466,2,-1,0,
10734,55,blue-collar,married,primary,no,835,yes,no,,16,jun,40,18,-1,0,
7762,29,services,divorced,secondary,no,590,yes,no,,30,may,76,2,-1,0,
35399,40,blue-collar,divorced,secondary,no,0,yes,no,cellular,7,may,135,1,-1,0,
40917,43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success
38894,35,blue-collar,married,primary,no,1749,yes,no,cellular,18,may,63,5,363,11,other
44090,60,management,divorced,primary,no,2694,no,no,telephone,6,jul,295,1,-1,0,
21946,41,technician,single,secondary,no,143,no,no,cellular,20,aug,744,7,-1,0,
10056,55,admin.,married,secondary,no,994,no,no,,11,jun,490,2,-1,0,
17693,25,services,single,,no,342,no,no,cellular,29,jul,281,4,-1,0,
7405,49,blue-collar,married,secondary,no,0,yes,no,,29,may,67,2,-1,0,
33038,32,blue-collar,married,primary,no,1504,yes,no,cellular,17,apr,131,2,-1,0,
7645,54,technician,divorced,secondary,no,814,yes,no,,30,may,95,1,-1,0,
12621,27,services,single,secondary,no,243,no,yes,,4,jul,253,1,-1,0,
8829,49,entrepreneur,married,primary,no,5380,yes,no,,4,jun,98,4,-1,0,
11767,58,retired,married,secondary,no,5523,no,no,,20,jun,141,1,-1,0,
3804,27,technician,single,secondary,no,1742,yes,no,,16,may,787,1,-1,0,
32107,51,services,married,secondary,no,421,yes,no,cellular,15,apr,139,2,-1,0,
31131,31,management,married,tertiary,no,131,no,no,cellular,18,feb,332,2,-1,0,
10964,57,entrepreneur,married,secondary,no,926,no,no,,17,jun,447,3,-1,0,
29164,31,technician,single,secondary,no,775,no,no,cellular,2,feb,361,1,-1,0,
13305,57,blue-collar,married,primary,no,0,no,no,cellular,8,jul,237,3,-1,0,
29073,60,management,married,tertiary,no,553,yes,no,cellular,2,feb,343,1,210,3,success
38168,28,technician,single,tertiary,no,558,yes,no,cellular,15,may,300,1,-1,0,
26499,39,blue-collar,single,secondary,no,369,no,yes,cellular,20,nov,224,1,-1,0,
19224,53,management,divorced,tertiary,no,269,no,no,cellular,6,aug,347,2,-1,0,
10406,56,blue-collar,married,secondary,no,2190,no,yes,,12,jun,270,1,-1,0,
23990,41,technician,divorced,secondary,no,88,no,no,cellular,29,aug,88,2,-1,0,
41961,57,management,married,primary,no,6900,no,no,cellular,23,oct,255,4,185,2,failure
10546,37,management,married,tertiary,no,57,no,no,,16,jun,77,1,-1,0,
24736,35,self-employed,married,secondary,no,3329,no,no,cellular,18,nov,166,1,-1,0,
36852,40,management,single,tertiary,no,-50,yes,no,cellular,12,may,306,2,350,1,failure
41708,77,retired,married,primary,no,121,no,no,telephone,7,oct,191,1,-1,0,
16339,41,management,single,tertiary,no,0,yes,no,cellular,23,jul,122,5,-1,0,
38390,29,admin.,single,secondary,no,405,yes,no,cellular,15,may,84,1,345,1,other
24428,43,entrepreneur,married,tertiary,no,0,yes,no,cellular,17,nov,105,1,-1,0,
22734,41,management,divorced,tertiary,yes,-68,yes,yes,cellular,25,aug,463,22,-1,0,
42934,34,technician,married,secondary,no,3000,yes,yes,cellular,8,feb,215,3,221,1,failure
28515,26,technician,single,tertiary,no,1996,no,no,cellular,29,jan,111,2,-1,0,
42194,67,management,married,tertiary,no,405,no,no,cellular,10,nov,344,2,95,2,success
42271,38,entrepreneur,married,tertiary,no,1438,no,no,cellular,13,nov,122,5,-1,0,
7356,55,management,married,tertiary,no,856,yes,yes,,29,may,101,4,-1,0,
660,32,admin.,married,tertiary,no,281,yes,no,,6,may,226,1,-1,0,
15038,55,unemployed,divorced,secondary,no,79,yes,no,cellular,17,jul,418,2,-1,0,
6121,35,blue-collar,married,secondary,no,-185,yes,yes,,27,may,130,2,-1,0,
42428,42,management,married,tertiary,no,144,no,no,cellular,7,dec,143,1,283,3,failure
8229,34,technician,married,primary,no,926,yes,yes,,2,jun,142,2,-1,0,
42688,30,management,single,tertiary,no,720,no,no,cellular,15,jan,1265,4,210,4,other
12775,27,blue-collar,single,secondary,no,77,no,yes,cellular,7,jul,497,1,-1,0,
42953,24,student,single,tertiary,no,235,no,no,cellular,9,feb,98,1,92,1,success
12234,47,services,married,secondary,no,0,no,yes,,20,jun,51,2,-1,0,
12642,30,admin.,single,tertiary,no,218,no,no,,4,jul,137,2,-1,0,
31107,38,admin.,married,secondary,no,755,yes,no,cellular,17,feb,120,1,-1,0,
25906,31,self-employed,single,secondary,no,203,no,yes,cellular,19,nov,177,1,-1,0,
36031,37,blue-collar,married,primary,no,240,yes,no,cellular,11,may,259,1,370,2,other
37421,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,
11536,39,admin.,single,secondary,no,0,no,yes,,19,jun,142,1,-1,0,
1852,43,blue-collar,married,primary,no,336,yes,no,,9,may,256,5,-1,0,
23767,41,technician,divorced,secondary,no,195,no,no,cellular,28,aug,260,1,-1,0,
7766,51,blue-collar,married,secondary,no,1374,yes,no,,30,may,378,1,-1,0,
1500,41,technician,married,secondary,no,64,yes,yes,,8,may,210,2,-1,0,
30059,54,blue-collar,married,secondary,no,688,yes,no,cellular,4,feb,379,2,-1,0,
9457,26,admin.,married,secondary,no,1417,yes,no,,6,jun,60,3,-1,0,
29359,49,management,married,secondary,no,466,no,no,cellular,2,feb,21,3,-1,0,
6050,60,retired,married,primary,no,-382,yes,no,,26,may,140,2,-1,0,
15299,35,admin.,single,secondary,no,111,yes,no,cellular,18,jul,127,3,-1,0,
14846,31,technician,divorced,secondary,no,105,yes,no,cellular,16,jul,72,1,-1,0,
3755,43,admin.,single,secondary,no,6,no,no,,16,may,244,1,-1,0,
27949,28,,single,secondary,no,4465,no,no,cellular,28,jan,769,1,-1,0,
40409,40,management,married,tertiary,no,-63,no,yes,cellular,2,jul,196,1,-1,0,
11950,47,management,divorced,tertiary,no,2515,no,no,,20,jun,40,3,-1,0,
18255,39,admin.,married,secondary,no,70,yes,no,cellular,31,jul,13,11,-1,0,
42289,34,management,married,tertiary,no,2599,no,no,cellular,16,nov,95,1,200,2,success
35000,32,technician,divorced,secondary,no,3345,yes,no,cellular,6,may,118,1,260,3,failure
30201,35,management,divorced,tertiary,no,500,yes,no,cellular,5,feb,177,1,252,1,failure
40461,35,services,single,tertiary,no,0,no,no,cellular,3,jul,704,1,-1,0,
23579,44,management,divorced,tertiary,no,0,no,no,cellular,28,aug,70,10,-1,0,
43711,37,management,married,tertiary,no,393,yes,no,cellular,14,may,567,3,275,4,failure
14789,45,blue-collar,single,secondary,yes,0,no,yes,cellular,16,jul,154,2,-1,0,
22809,30,management,single,tertiary,no,73,no,no,cellular,25,aug,114,6,-1,0,
32935,28,services,single,secondary,no,230,yes,yes,cellular,17,apr,181,2,-1,0,
13323,36,management,single,tertiary,no,-74,yes,yes,cellular,8,jul,476,2,-1,0,
8629,28,blue-collar,single,primary,no,0,yes,yes,,3,jun,380,4,-1,0,
3058,26,blue-collar,single,secondary,no,277,no,no,,14,may,514,2,-1,0,
4114,59,blue-collar,divorced,primary,no,457,yes,no,,19,may,63,1,-1,0,
21160,52,technician,married,tertiary,no,104,no,no,cellular,14,aug,244,2,-1,0,
13643,33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,
8329,49,blue-collar,married,primary,no,355,yes,no,,2,jun,253,7,-1,0,
33128,56,technician,married,secondary,no,0,yes,no,cellular,20,apr,249,1,-1,0,
10552,41,blue-collar,married,secondary,no,2413,no,no,,16,jun,64,3,-1,0,
2837,42,admin.,single,secondary,no,277,yes,no,,14,may,121,1,-1,0,
1896,57,self-employed,married,tertiary,yes,-3313,yes,yes,,9,may,153,1,-1,0,
14014,40,services,married,primary,no,352,yes,no,cellular,10,jul,258,1,-1,0,
15278,40,technician,married,tertiary,no,5152,yes,yes,cellular,18,jul,121,2,-1,0,
10373,58,management,married,primary,no,0,no,no,,12,jun,77,6,-1,0,
20847,45,technician,single,secondary,no,113,yes,yes,cellular,13,aug,165,2,-1,0,
26922,37,admin.,single,secondary,no,1560,yes,no,cellular,21,nov,67,1,163,2,failure
39830,31,self-employed,single,tertiary,no,283,no,no,cellular,1,jun,134,1,-1,0,
29513,64,retired,married,secondary,no,1176,no,no,cellular,3,feb,104,1,-1,0,
17149,36,services,divorced,tertiary,no,58,yes,no,cellular,28,jul,29,13,-1,0,
4448,32,services,married,secondary,no,364,yes,no,,20,may,466,1,-1,0,
12986,40,blue-collar,married,primary,yes,-23,no,yes,cellular,7,jul,756,3,-1,0,
17258,53,admin.,married,secondary,no,673,no,yes,telephone,28,jul,137,2,-1,0,
34598,41,blue-collar,divorced,primary,no,169,yes,no,cellular,5,may,71,1,-1,0,
32151,33,management,married,tertiary,no,2173,yes,no,cellular,15,apr,871,1,-1,0,
40898,36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,1,-1,0,
9379,26,blue-collar,single,secondary,no,940,yes,no,,6,jun,237,3,-1,0,
1716,44,management,married,tertiary,no,223,yes,no,,9,may,93,2,-1,0,
40997,21,management,single,secondary,no,691,no,no,cellular,13,aug,219,1,101,2,other
23218,39,technician,single,tertiary,no,0,no,no,cellular,27,aug,147,4,-1,0,
3717,25,admin.,married,secondary,no,16,yes,no,,16,may,129,1,-1,0,
17404,26,services,single,primary,no,179,yes,yes,cellular,28,jul,333,4,-1,0,
36988,48,blue-collar,married,secondary,no,709,yes,no,cellular,13,may,117,2,278,3,other
24519,38,admin.,married,,no,4583,yes,no,cellular,17,nov,191,2,-1,0,
10101,49,technician,single,tertiary,no,2585,no,no,,11,jun,64,1,-1,0,
7447,32,technician,divorced,secondary,no,211,yes,yes,,29,may,230,4,-1,0,
29590,29,,single,secondary,no,1288,no,no,cellular,3,feb,266,1,-1,0,
4430,51,housemaid,married,primary,no,492,yes,no,,20,may,142,3,-1,0,
24435,42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success
2487,48,management,married,tertiary,no,618,no,no,,13,may,149,1,-1,0,
30387,38,blue-collar,single,primary,no,3132,no,no,cellular,5,feb,304,1,-1,0,
22522,30,technician,single,secondary,no,3,no,no,cellular,22,aug,198,2,-1,0,
23510,32,management,married,tertiary,no,2431,no,no,cellular,28,aug,19,19,-1,0,
35066,30,admin.,single,secondary,no,1282,yes,no,cellular,6,may,346,3,356,2,other
11294,57,blue-collar,married,,no,4722,yes,no,,18,jun,121,2,-1,0,
8466,34,blue-collar,single,,no,6141,yes,no,,3,jun,145,1,-1,0,
2715,51,technician,married,secondary,no,330,yes,no,,13,may,72,4,-1,0,
37478,38,blue-collar,divorced,primary,no,0,yes,no,cellular,13,may,531,2,-1,0,
43540,31,management,married,tertiary,no,3160,yes,no,cellular,26,apr,688,2,-1,0,
507,48,blue-collar,single,secondary,no,44,yes,no,,6,may,153,1,-1,0,
21360,56,admin.,divorced,secondary,no,985,no,yes,cellular,18,aug,150,2,-1,0,
30296,35,unemployed,married,primary,no,4564,yes,no,telephone,5,feb,508,1,-1,0,
9558,37,self-employed,single,tertiary,no,1549,no,no,,6,jun,48,2,-1,0,
17484,31,services,single,secondary,no,0,no,no,cellular,28,jul,243,2,-1,0,
6281,44,technician,divorced,secondary,no,1196,yes,no,,27,may,202,1,-1,0,
42901,30,blue-collar,single,secondary,no,228,no,no,cellular,5,feb,232,1,365,1,failure
3444,53,admin.,married,secondary,no,-197,yes,yes,,15,may,178,1,-1,0,
30986,37,unemployed,married,secondary,no,356,no,no,cellular,9,feb,33,2,216,1,failure
36249,44,management,married,tertiary,no,0,yes,no,cellular,11,may,78,2,264,3,failure
42354,61,technician,married,primary,no,2282,no,no,cellular,25,nov,1092,1,-1,0,
16379,49,admin.,divorced,secondary,yes,2405,yes,no,cellular,23,jul,216,8,-1,0,
755,38,housemaid,married,secondary,no,0,yes,no,,6,may,59,3,-1,0,
2634,47,blue-collar,married,,no,1045,yes,no,,13,may,411,2,-1,0,
38541,40,blue-collar,married,secondary,no,1145,yes,no,cellular,15,may,175,4,-1,0,
420,49,management,single,tertiary,no,163,yes,no,,6,may,496,3,-1,0,
2566,41,management,married,tertiary,no,0,yes,no,,13,may,161,1,-1,0,
44703,37,services,married,secondary,no,52,yes,no,cellular,6,sep,908,1,185,9,success
1639,28,admin.,married,secondary,no,252,yes,no,,9,may,448,1,-1,0,
4159,48,blue-collar,married,secondary,no,5057,yes,no,,19,may,21,2,-1,0,
38798,31,blue-collar,single,secondary,no,512,yes,no,cellular,18,may,44,8,-1,0,
19966,43,management,married,tertiary,no,21510,no,no,cellular,8,aug,248,2,-1,0,
10079,59,entrepreneur,married,tertiary,no,712,yes,no,,11,jun,109,1,-1,0,
21680,34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181,6,-1,0,
34377,34,blue-collar,married,primary,no,698,yes,no,cellular,4,may,83,5,-1,0,
4705,40,blue-collar,married,,no,222,yes,no,,20,may,465,8,-1,0,
31989,41,admin.,married,secondary,no,5110,yes,no,cellular,13,apr,231,1,-1,0,
4868,36,admin.,single,secondary,no,98,yes,no,,21,may,68,1,-1,0,
20619,40,unemployed,divorced,secondary,no,1694,no,no,cellular,12,aug,473,6,-1,0,
42538,64,self-employed,married,tertiary,no,661,no,no,cellular,21,dec,367,2,294,2,failure
96,55,blue-collar,married,secondary,no,383,no,no,,5,may,287,1,-1,0,
36035,53,management,married,primary,no,72,yes,yes,telephone,11,may,22,1,-1,0,
14777,28,services,single,secondary,no,0,no,yes,cellular,16,jul,133,1,-1,0,
29360,33,services,married,secondary,no,317,yes,no,cellular,2,feb,141,4,201,1,other
32211,67,retired,married,primary,no,2301,no,no,cellular,16,apr,124,1,-1,0,
7719,28,blue-collar,single,primary,no,-232,yes,no,,30,may,557,2,-1,0,
6811,30,services,married,secondary,no,586,yes,no,,28,may,187,4,-1,0,
25226,36,management,married,tertiary,no,-92,no,yes,cellular,18,nov,196,3,-1,0,
24543,42,services,single,secondary,no,877,no,no,cellular,17,nov,90,2,-1,0,
37913,40,management,single,tertiary,no,2258,yes,no,cellular,14,may,115,3,287,2,failure
20167,40,management,divorced,tertiary,no,99,no,no,cellular,11,aug,275,2,-1,0,
28076,39,technician,married,secondary,no,24,yes,no,cellular,28,jan,79,4,-1,0,
35858,34,technician,divorced,secondary,no,49,no,no,cellular,8,may,142,1,-1,0,
15488,25,management,married,tertiary,no,51,yes,no,cellular,18,jul,127,4,-1,0,
22006,41,housemaid,married,secondary,no,304,no,no,cellular,20,aug,132,1,-1,0,
3926,55,management,single,tertiary,no,1464,yes,no,,16,may,92,1,-1,0,
26134,53,admin.,married,secondary,no,2924,no,no,cellular,19,nov,800,6,-1,0,
3596,48,entrepreneur,married,primary,no,3705,yes,no,,15,may,151,2,-1,0,
17121,46,blue-collar,married,primary,no,-271,yes,no,cellular,25,jul,65,2,-1,0,
42239,72,retired,married,secondary,no,4130,no,no,cellular,12,nov,427,1,-1,0,
24401,39,management,single,primary,no,0,yes,yes,cellular,17,nov,62,1,-1,0,
22517,50,management,married,tertiary,yes,72,no,no,cellular,22,aug,171,13,-1,0,
42881,77,retired,married,secondary,no,2123,no,no,telephone,4,feb,141,4,-1,0,
28730,34,services,single,secondary,no,2257,no,yes,telephone,30,jan,568,2,-1,0,
38356,35,unemployed,divorced,tertiary,no,8903,yes,no,cellular,15,may,171,1,175,6,failure
36972,41,blue-collar,married,primary,no,1356,yes,no,cellular,13,may,50,2,-1,0,
3726,31,services,married,secondary,no,5,yes,no,,16,may,216,1,-1,0,
27815,58,blue-collar,married,secondary,no,584,no,no,cellular,28,jan,339,1,-1,0,
32218,41,admin.,married,secondary,no,1597,yes,no,cellular,16,apr,461,2,321,1,failure
13801,34,admin.,married,secondary,no,-33,yes,yes,cellular,10,jul,961,1,-1,0,
20480,50,blue-collar,married,secondary,no,418,no,yes,cellular,12,aug,867,2,-1,0,
2451,54,management,married,primary,no,879,yes,no,,13,may,191,1,-1,0,
17010,55,blue-collar,married,primary,no,2490,no,no,telephone,25,jul,106,3,-1,0,
35922,41,admin.,married,secondary,no,549,yes,no,cellular,8,may,326,4,-1,0,
24408,30,management,single,tertiary,no,1435,yes,no,cellular,17,nov,104,3,-1,0,
33337,39,technician,married,tertiary,no,1524,no,no,cellular,20,apr,567,1,-1,0,
32954,27,blue-collar,married,secondary,no,872,yes,no,cellular,17,apr,1130,3,-1,0,
8987,51,management,divorced,tertiary,no,119,no,no,,5,jun,112,2,-1,0,
15980,38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,-1,0,
38830,35,management,single,tertiary,no,331,yes,no,cellular,18,may,30,5,-1,0,
14112,43,admin.,married,primary,no,392,yes,yes,cellular,11,jul,87,2,-1,0,
26843,35,blue-collar,married,secondary,no,5639,yes,no,cellular,20,nov,945,2,-1,0,
34078,53,blue-collar,married,secondary,no,6112,no,no,cellular,30,apr,211,1,86,1,success
6933,35,management,single,,no,137,no,no,,28,may,667,3,-1,0,
4015,34,blue-collar,married,secondary,no,305,yes,no,,16,may,1245,25,-1,0,
21444,31,management,single,secondary,no,0,no,no,cellular,18,aug,87,7,-1,0,
29783,33,technician,divorced,secondary,no,464,no,no,cellular,4,feb,207,4,-1,0,
24557,52,management,married,,no,672,no,yes,cellular,17,nov,171,1,-1,0,
20482,54,management,single,tertiary,no,2419,yes,no,cellular,12,aug,139,2,-1,0,
16050,30,entrepreneur,single,tertiary,no,676,no,yes,cellular,22,jul,214,1,-1,0,
12805,29,blue-collar,married,primary,no,57,no,yes,cellular,7,jul,461,1,-1,0,
26692,40,admin.,married,secondary,no,2574,yes,no,cellular,20,nov,517,1,-1,0,
30108,55,housemaid,married,primary,no,10,no,no,cellular,4,feb,174,3,-1,0,
41260,35,admin.,single,secondary,no,1810,yes,no,cellular,25,aug,52,2,92,2,failure
11049,36,services,single,secondary,no,398,yes,yes,,17,jun,77,2,-1,0,
25612,46,blue-collar,single,primary,no,96,yes,no,cellular,19,nov,217,1,-1,0,
11109,49,management,married,primary,no,1330,no,yes,,18,jun,37,1,-1,0,
36628,38,services,married,secondary,no,1616,yes,no,telephone,12,may,168,5,288,3,failure
25667,34,management,married,secondary,no,2311,yes,no,cellular,19,nov,59,1,-1,0,
35099,39,unemployed,married,primary,no,1147,yes,yes,cellular,6,may,232,2,363,5,failure
1904,37,blue-collar,married,secondary,no,790,no,no,,9,may,262,1,-1,0,
31780,54,unemployed,married,secondary,no,377,no,no,cellular,8,apr,1134,1,-1,0,
14749,43,technician,single,secondary,no,326,yes,no,cellular,15,jul,87,8,-1,0,
30843,38,blue-collar,married,secondary,no,452,yes,no,cellular,9,feb,69,4,-1,0,
30619,44,technician,single,secondary,no,196,yes,no,cellular,6,feb,386,3,-1,0,
35187,29,admin.,single,secondary,no,-194,yes,no,cellular,7,may,127,1,-1,0,
40669,46,management,married,secondary,no,5127,no,no,cellular,6,aug,472,1,-1,0,
34963,30,technician,single,tertiary,no,3,yes,no,cellular,6,may,45,2,169,2,failure
10277,31,technician,single,secondary,no,1094,yes,no,,12,jun,93,8,-1,0,
7506,44,blue-collar,married,secondary,no,3610,yes,no,,29,may,23,15,-1,0,
20594,33,management,married,tertiary,no,1071,no,no,cellular,12,aug,83,4,-1,0,
26364,56,management,married,tertiary,no,424,yes,yes,cellular,20,nov,113,5,-1,0,
7030,30,blue-collar,married,secondary,no,1780,yes,no,,28,may,116,12,-1,0,
35073,32,blue-collar,married,primary,no,-6,yes,no,cellular,6,may,169,2,-1,0,
36350,42,blue-collar,married,secondary,no,3068,yes,yes,cellular,11,may,429,2,-1,0,
26013,57,management,married,tertiary,no,12048,no,no,telephone,19,nov,95,3,-1,0,
17426,29,services,married,secondary,no,417,yes,no,cellular,28,jul,234,11,-1,0,
26618,35,admin.,married,secondary,no,725,yes,no,cellular,20,nov,219,7,133,1,failure
30909,26,admin.,single,secondary,no,255,no,no,cellular,9,feb,190,1,-1,0,
43542,26,management,single,tertiary,no,222,no,no,cellular,26,apr,192,1,334,1,failure
45179,34,technician,married,secondary,no,1026,no,no,cellular,12,nov,319,1,100,6,failure
2660,31,technician,single,secondary,no,849,yes,yes,,13,may,295,2,-1,0,
2477,35,technician,single,secondary,no,2144,yes,no,,13,may,188,2,-1,0,
14587,51,self-employed,married,tertiary,no,146,no,no,cellular,15,jul,132,3,-1,0,
38072,31,services,married,secondary,no,4687,yes,no,cellular,14,may,192,4,-1,0,
4561,38,entrepreneur,married,primary,no,666,yes,no,,20,may,1452,10,-1,0,
24016,47,admin.,married,tertiary,no,1077,no,no,telephone,29,aug,43,2,-1,0,
5169,32,blue-collar,married,primary,no,159,yes,no,,21,may,207,3,-1,0,
16008,27,management,single,tertiary,no,3,yes,yes,cellular,22,jul,506,1,-1,0,
35329,57,self-employed,married,tertiary,no,192,yes,no,cellular,7,may,320,1,-1,0,
24471,58,management,married,tertiary,no,16264,no,no,telephone,17,nov,215,3,-1,0,
23559,32,unemployed,single,tertiary,no,99,no,no,cellular,28,aug,49,35,-1,0,
22730,59,technician,married,secondary,no,283,no,no,cellular,25,aug,272,4,-1,0,
36535,46,admin.,married,secondary,no,1437,yes,no,cellular,12,may,49,1,-1,0,
12914,31,technician,single,secondary,no,49,yes,no,cellular,7,jul,234,1,-1,0,
11508,23,technician,single,secondary,no,-782,yes,yes,,19,jun,197,10,-1,0,
36358,29,blue-collar,single,secondary,no,558,yes,no,cellular,11,may,142,1,-1,0,
35541,40,admin.,married,secondary,no,168,yes,no,cellular,7,may,249,2,169,1,failure
5486,31,blue-collar,single,secondary,no,1358,yes,yes,,23,may,339,2,-1,0,
36962,40,services,married,secondary,no,56,yes,no,cellular,12,may,700,3,-1,0,
12945,39,services,married,secondary,no,0,no,no,cellular,7,jul,333,5,-1,0,
21983,60,admin.,married,tertiary,no,1614,no,no,cellular,20,aug,921,6,-1,0,
36728,32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87,4,357,4,failure
39259,56,blue-collar,married,secondary,no,876,yes,no,telephone,18,may,93,2,-1,0,
29025,56,management,married,tertiary,no,363,no,no,cellular,2,feb,49,1,-1,0,
3192,42,admin.,married,secondary,no,2918,yes,no,,15,may,349,2,-1,0,
19956,59,retired,divorced,secondary,no,93,no,yes,cellular,8,aug,108,2,-1,0,
29802,48,self-employed,married,secondary,no,1559,no,no,cellular,4,feb,130,2,-1,0,
10788,41,technician,married,secondary,no,1385,no,no,,17,jun,145,1,-1,0,
43837,41,entrepreneur,married,tertiary,no,70,no,no,,31,may,14,1,557,1,failure
40755,48,blue-collar,married,secondary,no,1730,yes,no,cellular,10,aug,158,1,102,1,success
34857,53,entrepreneur,married,tertiary,no,54,yes,yes,cellular,6,may,123,1,169,1,failure
34556,40,blue-collar,single,secondary,no,411,yes,no,cellular,5,may,197,1,-1,0,
11412,56,technician,married,tertiary,no,1663,no,no,,19,jun,22,1,-1,0,
9660,32,blue-collar,single,primary,no,5418,yes,no,,6,jun,25,6,-1,0,
33220,29,technician,single,tertiary,no,68,yes,no,cellular,20,apr,658,1,-1,0,
15409,32,management,single,tertiary,no,2343,no,no,cellular,18,jul,226,1,-1,0,
3719,36,admin.,single,secondary,no,0,yes,yes,,16,may,213,1,-1,0,
42410,26,student,single,tertiary,no,294,no,no,cellular,4,dec,208,2,-1,0,
20036,30,management,single,tertiary,no,344,no,no,cellular,8,aug,179,3,-1,0,
26754,31,blue-collar,single,primary,no,2369,yes,yes,cellular,20,nov,470,2,-1,0,
30320,30,unemployed,single,secondary,no,40,no,no,cellular,5,feb,133,1,-1,0,
26262,40,housemaid,divorced,secondary,no,1194,yes,no,cellular,20,nov,99,2,-1,0,
8094,30,technician,single,secondary,no,518,yes,no,,2,jun,21,1,-1,0,
24757,36,self-employed,single,secondary,no,15,no,no,cellular,18,nov,186,2,-1,0,
18264,56,management,married,secondary,no,208,no,yes,telephone,31,jul,84,6,-1,0,
26180,46,blue-collar,married,primary,no,5393,yes,no,cellular,20,nov,997,2,-1,0,
43905,29,blue-collar,single,secondary,no,322,no,no,,14,jun,434,1,96,6,other
2744,54,blue-collar,divorced,primary,no,2062,yes,no,,14,may,438,2,-1,0,
37784,31,blue-collar,single,primary,no,538,yes,no,cellular,14,may,703,4,-1,0,
18471,47,management,married,tertiary,no,2597,no,no,cellular,31,jul,52,2,-1,0,
27401,44,management,married,tertiary,yes,0,yes,no,cellular,21,nov,123,2,-1,0,
25491,33,management,single,tertiary,no,541,yes,yes,cellular,19,nov,140,1,182,1,failure
40476,21,student,single,secondary,no,39,no,no,cellular,6,jul,207,2,-1,0,
35189,33,management,married,tertiary,no,29,yes,no,cellular,7,may,549,1,-1,0,
33802,30,management,single,tertiary,no,398,no,no,cellular,24,apr,235,2,-1,0,
39361,20,blue-collar,single,secondary,no,76,yes,no,cellular,18,may,639,2,-1,0,
28801,36,services,single,secondary,no,511,yes,yes,cellular,30,jan,706,1,252,1,failure
34034,32,management,married,tertiary,no,628,no,no,cellular,30,apr,280,1,-1,0,
16638,30,unemployed,single,secondary,no,79,no,yes,cellular,24,jul,169,1,-1,0,
26306,34,management,married,primary,no,2200,no,no,cellular,20,nov,168,1,-1,0,
41561,74,retired,married,primary,no,1765,no,no,telephone,11,sep,290,2,-1,0,
12828,48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,46,1,-1,0,
2108,31,management,single,tertiary,no,4509,yes,no,,12,may,207,3,-1,0,
3682,30,self-employed,single,tertiary,no,901,yes,yes,,16,may,601,1,-1,0,
17850,52,management,married,tertiary,no,1453,no,no,telephone,29,jul,254,21,-1,0,
42963,53,admin.,married,secondary,no,10541,no,no,cellular,9,feb,164,2,92,1,success
20698,41,self-employed,married,primary,no,204,no,no,cellular,13,aug,111,7,-1,0,
28479,28,management,single,tertiary,no,882,no,yes,cellular,29,jan,94,1,205,2,failure
29698,45,management,married,tertiary,no,1199,no,no,telephone,3,feb,221,2,-1,0,
1193,35,management,divorced,tertiary,no,3837,yes,no,,8,may,1084,1,-1,0,
39881,50,technician,married,secondary,no,3370,no,no,cellular,2,jun,160,2,-1,0,
43632,33,blue-collar,single,secondary,no,228,no,no,telephone,5,may,110,1,89,4,failure
5920,44,technician,married,secondary,no,-199,no,no,,26,may,144,3,-1,0,
39774,33,management,married,tertiary,no,1323,no,no,cellular,1,jun,327,1,-1,0,
36378,44,blue-collar,married,primary,no,-420,yes,no,cellular,11,may,220,2,-1,0,
15871,29,blue-collar,married,secondary,no,358,no,no,cellular,21,jul,88,5,-1,0,
32809,31,services,married,secondary,no,371,yes,yes,cellular,17,apr,654,1,-1,0,
21604,58,admin.,married,primary,no,0,no,no,cellular,19,aug,109,6,-1,0,
43331,59,management,married,tertiary,no,3342,no,no,cellular,18,mar,467,2,188,6,other
15906,44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,-1,0,
5039,32,blue-collar,married,secondary,no,0,yes,yes,,21,may,143,2,-1,0,
29957,29,unemployed,married,primary,no,639,no,yes,cellular,4,feb,358,2,-1,0,
